geo_type,region,transportation_type,alternative_name,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
country/region,Belgium,transit,België,100.0,98.67,105.01,105.87,113.55,110.73,100.53,105.62,110.39,114.35,111.03,116.9,116.25,106.64,113.29,115.8,117.19,118.26,126.13,122.24,115.06,119.32,117.23,121.7,121.67,134.02,134.78,119.52,132.55,130.72,130.33,131.96,139.68,142.1,123.14,134.04,139.53,141.82,138.11,137.78,126.99,118.46,136.73,135.58,136.45,137.36,133.34,114.62,108.56,120.18,123.09,127.58,132.54,138.6,134.85,114.29,118.1,112.37,115.74,91.05,71.94,52.67,46.28,44.63,37.76,27.77,23.0,21.03,21.05,21.57,22.47,22.29,21.31,21.7,22.19,21.64,18.76,21.45,21.28,20.24,19.84,21.43,23.19,25.02,23.97,25.85,26.39,26.7,26.55,27.17,26.24,23.95,26.06,27.54,26.97,26.15,22.72,26.48,26.57,26.91,27.99,27.93,26.32,28.81,29.93,28.2,25.95,26.25,28.09,27.73
country/region,Belgium,walking,België,100.0,101.46,110.44,118.86,139.1,174.99,111.72,105.08,113.37,119.64,118.63,141.59,174.68,119.37,115.72,119.7,127.83,132.95,160.33,178.82,118.45,118.08,117.56,131.86,137.37,166.1,195.81,107.52,125.29,136.11,141.76,144.84,195.2,235.37,135.03,146.08,156.85,160.02,163.25,168.21,189.77,125.25,145.88,155.27,147.4,144.5,159.23,169.08,113.57,112.05,129.9,137.21,136.47,162.68,209.67,115.49,118.11,116.42,119.12,108.4,91.05,68.37,59.68,55.93,55.2,49.46,41.63,35.99,47.51,53.95,44.24,46.66,48.17,48.13,51.28,56.67,34.5,39.4,45.78,47.55,41.01,46.98,62.98,71.96,53.38,64.11,66.82,66.84,73.06,87.01,73.26,51.46,53.49,65.45,70.6,68.34,53.51,72.05,59.11,61.02,66.65,67.61,65.62,76.05,83.69,60.73,42.77,50.36,51.45,51.8
country/region,Brazil,driving,Brasil,100.0,99.71,100.9,101.88,113.69,114.38,91.06,97.54,98.14,97.91,98.51,109.53,111.8,88.93,92.86,95.19,94.85,96.31,109.54,109.56,83.8,92.5,92.97,93.75,96.35,114.55,117.52,86.93,99.25,95.71,98.43,98.92,115.44,123.46,92.31,95.54,99.59,102.06,109.38,141.63,140.3,103.13,102.5,99.46,92.81,91.16,101.9,107.46,77.97,88.51,90.22,92.18,95.49,110.82,118.71,82.64,90.32,92.92,92.58,89.66,103.57,106.68,71.69,70.59,64.88,58.47,52.15,51.7,39.66,27.58,34.89,34.84,35.26,37.57,42.94,41.63,30.76,40.12,41.85,44.28,45.51,50.52,50.88,35.1,45.53,48.59,51.93,58.89,44.88,58.22,36.49,46.79,47.91,49.89,50.47,56.91,56.26,38.14,51.62,45.15,53.67,55.04,59.39,59.43,40.2,51.35,54.57,56.02,64.63,55.37
country/region,Brazil,transit,Brasil,100.0,102.45,104.28,100.2,97.06,81.01,69.05,100.37,109.18,106.12,102.51,99.99,81.78,70.41,105.37,110.46,108.95,103.38,105.23,84.27,71.2,111.64,113.05,111.42,111.11,116.13,95.44,74.79,120.83,116.59,118.28,113.61,117.96,109.7,92.39,119.12,123.99,121.93,114.4,113.62,96.45,79.83,81.57,78.26,84.99,100.15,104.61,89.78,70.02,111.78,114.5,112.99,113.33,112.0,93.39,68.94,112.46,117.22,113.69,105.24,99.22,75.46,54.78,71.52,57.15,45.94,36.65,29.95,19.51,17.04,20.74,18.78,19.11,20.33,21.26,18.17,16.61,22.27,22.91,23.23,21.81,21.89,19.08,17.13,24.12,23.47,23.39,23.16,18.19,19.19,15.71,24.36,23.03,23.5,23.4,22.2,19.51,17.0,22.93,19.84,25.37,24.45,24.37,21.21,18.21,25.24,25.3,25.43,24.75,19.59
country/region,Brazil,walking,Brasil,100.0,106.3,104.75,99.05,104.13,101.18,69.84,97.33,105.36,102.28,95.88,104.74,101.07,69.38,98.41,102.94,101.02,100.51,110.22,95.63,65.06,97.15,104.11,103.31,104.21,120.32,114.78,70.93,101.06,106.71,110.43,113.33,126.08,135.5,97.46,109.05,115.3,116.07,121.05,137.47,171.31,153.25,137.77,114.5,82.66,99.98,109.09,106.38,67.92,100.58,107.55,109.92,112.18,122.93,117.49,70.22,106.53,110.43,111.88,105.51,110.67,99.18,58.05,76.8,65.54,54.89,45.14,40.48,29.89,20.98,27.37,27.11,27.96,28.91,32.21,31.1,22.26,31.21,33.58,35.29,35.66,38.21,36.27,25.8,36.09,38.32,40.39,45.27,32.17,42.94,25.18,37.69,37.98,39.29,39.36,42.1,39.17,26.98,39.71,32.11,43.53,44.0,45.0,42.06,27.92,40.94,43.22,44.22,48.58,37.63
country/region,Bulgaria,driving,България,100.0,102.56,104.73,104.35,114.79,118.01,105.42,100.78,99.44,103.52,106.11,118.01,123.61,112.36,102.6,102.95,107.2,105.02,118.7,122.25,113.09,102.09,104.35,111.79,97.18,111.27,113.83,110.75,102.03,102.69,108.41,108.77,134.88,129.46,123.85,104.85,107.76,114.6,120.04,126.35,132.23,119.83,101.6,103.94,106.47,103.06,121.15,113.93,101.15,101.83,111.62,98.99,100.55,112.56,113.53,96.33,90.09,85.71,82.45,74.9,74.46,56.39,45.54,45.27,44.11,41.94,39.19,41.18,29.8,25.56,28.09,28.26,28.64,30.36,30.65,26.64,26.03,31.88,32.46,30.42,31.36,33.57,28.45,27.96,35.76,37.22,36.73,39.01,40.24,36.59,32.36,40.59,40.55,41.32,43.73,33.27,28.31,27.52,32.58,37.19,39.51,41.93,42.84,41.18,36.21,44.7,47.96,46.28,49.24,46.78
country/region,Bulgaria,walking,България,100.0,101.9,99.61,100.06,117.97,128.66,99.64,105.3,98.6,104.38,109.35,135.78,144.71,112.89,108.51,110.44,114.54,113.45,132.49,149.6,110.72,113.09,113.9,97.24,100.2,118.28,127.6,104.3,110.33,105.3,112.73,125.87,158.5,150.96,126.15,124.09,124.06,126.79,120.35,141.22,150.27,116.38,112.7,116.58,129.0,112.06,117.39,130.03,100.06,109.52,109.41,107.28,106.61,130.98,130.53,92.8,89.7,89.06,90.51,93.22,89.76,52.27,30.53,41.08,33.04,33.02,31.87,35.5,27.04,19.15,23.95,23.97,25.17,24.09,25.34,25.2,22.63,30.34,26.9,23.67,29.5,31.4,23.97,20.88,33.13,38.77,37.96,37.29,40.69,35.5,31.65,43.87,37.87,38.12,41.56,37.06,29.05,22.38,26.1,32.51,39.27,43.87,40.44,41.08,30.39,44.21,46.5,44.04,50.01,42.92
country/region,Cambodia,driving,ព្រះរាជាណាចក្រកម្ពុជា,100.0,100.75,99.33,96.0,98.78,103.64,99.16,97.65,96.87,95.13,81.87,86.56,94.24,93.33,90.41,92.44,91.72,89.73,96.11,103.22,91.61,88.75,91.67,90.77,91.23,100.48,103.82,91.43,90.71,91.53,92.78,98.96,107.46,97.93,89.71,89.75,89.44,88.2,91.65,98.62,97.68,88.91,85.88,85.51,85.04,74.09,76.42,78.2,71.41,70.89,71.91,69.82,69.35,72.68,72.28,67.53,63.06,63.34,56.33,48.49,49.14,45.88,42.68,39.81,34.71,33.31,33.16,33.23,32.71,31.25,30.71,27.84,29.27,28.76,28.59,28.92,29.03,29.47,29.56,29.22,28.82,29.71,29.66,30.57,30.83,28.91,29.96,26.31,27.3,26.96,24.13,24.08,25.14,25.29,28.68,30.84,31.03,32.0,31.94,32.07,31.81,32.56,33.82,33.73,32.61,34.69,33.18,33.48,38.62,35.93
country/region,Cambodia,walking,ព្រះរាជាណាចក្រកម្ពុជា,100.0,98.06,99.7,98.0,106.81,106.84,106.98,102.84,100.7,103.34,100.77,102.84,111.88,105.81,104.47,97.56,101.44,93.49,102.2,109.25,96.36,98.63,94.46,95.93,91.56,98.6,106.78,88.38,91.62,94.23,92.06,91.79,95.33,99.77,91.39,94.39,92.79,96.33,95.99,95.73,96.73,92.79,87.32,87.78,89.02,81.51,88.15,95.36,84.35,86.82,83.31,85.81,83.74,86.25,92.46,79.77,83.51,79.11,75.87,73.87,75.4,74.57,67.12,69.86,60.98,62.35,59.25,60.71,66.15,62.12,56.11,53.47,55.54,54.67,55.44,50.2,56.07,53.97,55.57,56.94,53.6,55.87,54.11,55.17,58.01,50.03,55.31,52.3,58.85,46.3,47.6,43.52,45.49,43.09,44.69,57.64,52.5,55.84,53.47,60.45,58.14,53.91,57.08,53.64,56.38,60.75,48.33,52.77,62.25,59.28
country/region,Canada,driving,,100.0,102.91,99.74,105.17,122.34,102.5,84.46,102.63,104.31,107.37,110.29,127.88,116.84,88.06,98.11,102.75,104.73,109.0,129.2,119.47,88.42,97.41,100.25,103.6,105.72,120.32,118.1,92.45,104.41,107.15,108.19,115.97,140.55,125.71,103.84,95.14,111.82,113.99,119.01,136.41,128.05,98.89,102.34,107.2,104.04,105.22,131.32,125.25,96.88,105.19,110.89,112.29,117.74,128.31,119.48,95.1,102.06,103.97,103.94,100.22,101.24,87.16,68.17,74.1,67.21,63.91,62.16,63.93,53.45,41.73,49.42,48.66,47.57,46.94,52.63,43.08,36.69,45.01,47.15,48.1,47.17,51.71,44.5,36.1,47.06,48.1,50.81,56.31,45.48,47.79,35.19,44.73,52.28,54.67,56.14,61.27,54.89,45.1,58.27,57.54,59.5,62.07,69.4,61.33,49.16,62.59,64.78,66.72,68.45,78.5
country/region,Canada,transit,,100.0,100.03,98.01,101.01,105.42,89.65,75.87,98.64,99.0,100.79,101.45,108.86,91.47,75.15,93.28,95.88,94.14,97.63,104.6,93.75,75.71,93.13,94.86,94.09,96.3,103.76,95.66,78.4,95.79,96.84,96.69,102.9,108.95,92.72,79.97,80.63,97.64,98.13,100.38,110.64,96.4,78.72,93.45,94.4,91.96,94.2,105.38,99.36,79.62,95.54,98.09,100.52,103.64,103.96,94.06,78.53,92.55,91.11,89.78,83.35,76.4,63.75,51.19,50.0,40.26,35.59,31.53,30.3,26.48,22.26,23.58,21.68,20.81,19.64,20.16,18.09,17.25,19.58,20.05,19.54,18.77,18.88,17.33,16.32,18.84,17.9,18.1,17.74,16.45,16.78,14.93,18.09,18.73,18.73,18.31,18.64,18.19,16.95,20.48,18.99,19.29,19.49,20.44,19.56,18.08,21.78,21.66,21.3,21.97,23.68
country/region,Canada,walking,,100.0,106.29,106.65,108.64,127.43,122.55,90.42,104.92,108.92,112.57,118.17,139.85,136.71,93.37,105.36,111.79,110.13,115.16,138.49,140.12,91.16,102.67,105.91,107.29,108.17,128.56,139.77,93.6,106.26,111.39,112.79,120.1,152.97,152.65,125.23,99.59,114.61,119.86,127.3,152.97,155.76,103.86,109.77,111.42,106.92,107.07,135.19,146.34,102.32,109.77,117.97,123.88,131.76,142.64,147.0,108.48,113.56,108.1,110.67,106.32,104.32,103.0,73.82,75.7,65.68,62.44,60.16,59.11,53.11,43.54,45.64,48.44,49.21,46.46,53.57,43.07,38.38,42.36,47.84,49.0,47.09,48.68,48.35,39.89,51.48,50.34,53.06,52.77,45.36,48.43,40.6,41.76,50.75,50.9,53.45,56.42,56.27,44.6,58.6,51.99,53.94,57.59,63.55,63.76,47.31,61.18,62.65,63.49,62.18,74.84
country/region,Chile,driving,,100.0,99.01,102.57,106.47,124.69,120.83,97.12,102.53,101.57,102.41,107.31,124.15,118.81,99.66,107.13,102.57,101.5,106.61,131.48,129.34,102.43,112.31,109.69,113.49,117.69,139.24,135.2,111.81,122.24,115.22,116.03,123.72,147.07,133.92,109.45,121.37,114.62,116.11,118.84,136.88,128.4,101.01,107.67,106.95,105.08,111.11,131.65,123.39,84.09,95.14,94.83,95.54,95.79,114.72,111.25,68.99,88.41,95.9,93.92,91.16,109.18,100.69,58.2,60.99,51.77,45.09,39.39,39.39,28.94,19.38,30.37,32.12,31.74,37.77,28.19,23.85,18.98,27.89,29.93,30.84,31.75,32.62,28.03,22.3,32.0,34.63,35.2,36.45,25.1,26.52,20.39,36.29,36.02,37.14,36.81,42.7,35.36,26.29,39.9,41.09,42.97,43.45,46.93,39.87,28.84,40.8,42.77,45.98,51.9,35.45
country/region,Chile,walking,,100.0,102.58,103.13,103.74,107.87,86.73,59.44,99.53,98.22,101.48,104.03,105.78,83.2,59.55,100.85,97.6,96.02,101.29,107.44,86.87,60.33,98.79,103.85,106.43,105.25,112.31,93.48,65.7,102.72,104.7,105.16,112.07,120.99,93.08,68.1,106.39,103.2,103.6,106.98,111.69,93.75,65.96,100.87,106.68,105.07,113.44,126.14,94.7,60.64,102.1,107.23,108.74,107.85,119.14,90.39,65.37,103.23,116.27,111.48,108.83,110.85,84.49,45.26,62.42,47.54,37.5,30.19,28.53,18.83,13.13,22.91,23.13,22.76,26.48,18.08,15.84,12.76,19.39,20.33,20.93,21.23,24.07,18.6,14.9,23.62,24.91,23.62,24.52,17.93,18.14,13.69,26.48,26.11,24.78,24.85,29.64,23.92,17.44,27.8,27.92,29.19,28.57,32.79,27.92,18.53,29.59,30.76,32.47,35.1,24.15
country/region,Colombia,driving,,100.0,97.85,99.65,97.22,109.1,120.38,103.25,95.63,93.95,95.37,94.74,106.37,122.27,102.01,89.35,92.76,90.77,91.45,102.23,119.07,102.2,86.88,90.98,91.48,88.49,107.74,127.12,103.77,91.24,92.7,92.51,91.93,106.82,120.98,101.06,90.13,89.95,91.59,95.07,110.22,128.49,105.41,93.35,89.57,88.31,84.99,96.85,118.23,89.41,78.46,82.12,82.23,86.08,95.23,118.34,90.98,79.1,81.32,72.66,70.32,80.28,94.28,67.0,54.0,49.2,43.51,43.84,36.06,23.77,22.0,25.08,27.77,22.96,23.88,23.79,25.59,25.2,25.41,25.57,25.85,26.78,26.23,27.33,26.83,27.13,28.16,29.1,29.16,26.4,29.38,26.31,27.52,29.65,29.82,28.96,29.71,30.1,28.96,29.23,30.49,30.41,31.85,31.23,34.47,30.75,34.79,35.42,35.41,38.38,37.08
country/region,Colombia,walking,,100.0,103.15,104.44,102.96,112.65,116.71,101.0,97.52,102.29,100.24,98.95,113.08,117.66,98.95,91.84,96.66,87.78,100.43,105.35,116.13,97.66,93.94,96.61,103.01,97.18,111.12,124.15,94.51,94.8,95.7,95.7,97.37,109.45,117.66,93.6,94.03,95.51,95.66,96.85,107.59,127.88,105.82,100.57,92.51,95.56,92.46,102.34,114.18,89.88,83.44,87.83,91.74,95.42,99.47,121.48,94.89,83.34,91.36,82.0,80.53,90.69,101.43,71.69,61.72,54.08,44.63,48.16,41.81,30.26,26.73,32.27,32.22,29.79,29.69,29.26,31.93,32.36,31.17,31.26,33.22,31.93,31.26,33.46,34.84,31.6,35.94,34.75,36.42,37.85,37.47,33.32,33.7,39.05,36.95,32.7,38.71,35.42,35.42,38.33,37.61,37.9,40.53,40.81,41.81,43.82,45.49,48.4,41.43,47.35,42.86
country/region,Croatia,driving,Hrvatska,100.0,102.23,102.77,98.19,108.51,108.06,105.89,95.73,97.04,97.93,100.48,105.52,103.48,96.48,97.2,94.04,95.71,95.13,104.87,110.08,103.36,92.75,98.01,101.33,98.91,107.41,112.64,108.77,98.44,99.87,102.82,103.02,121.46,122.94,122.61,103.11,103.34,103.49,109.22,123.42,124.0,117.8,101.27,97.66,95.32,98.31,106.94,102.18,97.28,91.76,95.22,95.12,101.01,108.84,103.38,101.47,93.61,89.39,86.34,77.47,71.89,57.01,50.05,45.82,44.88,40.99,39.66,39.87,30.85,40.23,27.56,21.93,21.32,21.79,23.58,20.51,21.47,24.45,26.41,25.98,27.97,26.77,26.2,26.18,30.47,31.83,32.21,35.53,32.9,26.15,22.45,29.5,30.65,34.61,37.79,38.04,35.05,33.02,38.34,39.38,43.13,44.68,46.7,44.66,42.46,47.61,47.24,46.5,48.05,44.11
